pais,regio,lifexp,population,gdp
Abkhazia,0,,,
Afghanistan,1,45.21,12625292,
Akrotiri and Dhekelia,0,,,
Albania,0,72.71,2957390,1059.865744
Algeria,2,67.18,22098298,2020.08722
American Samoa,1,,39253,
Andorra,0,,47414,14354.90656
Angola,2,47.5,9065562,362.4767014
Anguilla,3,,6661,
Antigua and Barbuda,3,72.13,65614,6422.811859
Argentina,3,71.46,30354240,6146.155455
Armenia,0,71.7,3339147,
Aruba,3,73.18,63030,
Australia,1,75.41,15812088,15574.44144
Austria,0,73.95,7559621,16776.39194
Azerbaijan,0,66.37,6670151,
Bahamas,3,67.67,234553,19359.4995
Bahrain,1,70.73,416929,8896.286407
Bangladesh,1,55.47,92283598,266.086821
Barbados,3,71.54,254419,7356.833536
Belarus,0,70.28,9998503,
Belgium,0,74.41,9840123,16273.53897
Belize,3,71.34,165792,1772.012303
Benin,2,52.33,4140176,326.807709
Bermuda,3,,57812,40870.94386
Bhutan,1,56.69,490438,306.572351
Bolivia,3,58.22,5957291,872.8099104
Bosnia and Herzegovina,0,76.95,4121595,
Botswana,2,62.44,1182803,1564.307997
Brazil,3,65.76,136246764,3333.999635
British Virgin Islands,3,,13324,
Brunei,1,72.41,219050,21882.63169
Bulgaria,0,71.15,8960417,1508.59234
Burkina Faso,2,51.08,8169792,164.5876723
Burundi,2,47.08,4850597,175.0783178
Cambodia,1,55.5,7919802,
Cameroon,2,57.17,10518855,867.9212259
Canada,3,76.31,25842588,18183.73352
Cape Verde,2,66.12,328481,704.3070693
Cayman Islands,3,,20172,
Central African Republic,2,50.57,2626638,310.338116
Chad,2,52.51,5151339,197.5315344
Channel Islands,0,74.49,133482,
Chile,3,71.42,12107225,2412.896975
China,1,65.87,1056579219,289.6759682
Christmas Island,1,,,
Cocos Island,1,,,
Colombia,3,70.48,29993539,2022.211966
Comoros,2,55.36,385740,433.5882348
Congo- Dem. Rep.,2,53.28,31044153,247.5906962
Congo- Rep.,2,55.94,2081152,1364.792651
Cook Is,1,,17725,
Costa Rica,3,75.37,2691778,2776.893983
Cote d'Ivoire,2,55.02,10494827,746.1494783
Croatia,0,71.54,4471404,
Cuba,3,74.57,10069187,3540.635229
Cyprus,0,75.95,703752,8179.032376
Czech Republic,0,71.48,10300844,
Czechoslovakia,0,,15454794,
