pais,regio,lifexp,population,gdp
Pakistan,1,56.68,68482526,295.3833393
Palau,1,,12280,
Panama,3,69.35,1726672,3007.975438
Papua New Guinea,1,49.54,2809595,703.5632174
Paraguay,3,70.57,2802133,952.1043261
Peru,3,59.31,15143887,2305.761974
Philippines,1,63.21,40892836,941.7608066
Pitcairn,1,,69,
Poland,0,70.88,33971911,
Portugal,0,68.9,9203339,5453.155504
Puerto Rico,3,72.77,2938911,7499.967004
Qatar,1,70.4,162835,
Reunion,2,66,485134,
Romania,0,69.75,21245107,
Russia,0,68.24,134232512,
Rwanda,2,46.13,4389619,191.8603381
St. Barthélemy,3,,,
St. Helena,2,,5253,
St. Kitts and Nevis,3,,44289,
St. Lucia,3,65.38,109038,
St. Martin,3,,,
St. Vincent and the Grenadines,3,65.99,95591,1269.463134
St.-Pierre-et-Miquelon,3,,5883,
Samoa,1,60.26,150373,
San Marino,0,,19734,14854.44577
Sao Tome and Principe,2,60.09,82124,
Saudi Arabia,1,61.67,7344638,14979.49479
Senegal,2,43.94,4785536,530.8279615
Serbia,0,69.82,8536301,
Serbia and Montenegro,0,,9091000,
Serbia excluding Kosovo,0,,7216985,
Seychelles,2,66.9,57791,3342.100523
Sierra Leone,2,48.45,2845392,292.0612184
Singapore,1,69.26,2262444,6681.030483
Slovak Republic,0,70.45,4718093,
Slovenia,0,70.32,1742004,
Solomon Islands,1,59.33,192719,
Somalia,2,45.24,4117971,
Somaliland,2,,,
South Africa,2,54.47,25698624,3316.454761
South Ossetia,0,,,
Spain,0,73.49,35738587,8421.513042
Sri Lanka,1,66.76,13810647,373.5452959
Sudan,2,56,13627096,284.3564176
Suriname,3,66.19,364497,2489.747796
Svalbard,0,,,
Swaziland,2,51.94,517024,782.948947
Sweden,0,74.95,8192569,18483.04552
Switzerland,0,74.86,6355947,
Syria,1,62.95,7546139,908.9958096
Taiwan,1,70.05,16122000,
Tajikistan,1,63.08,3441990,
Tanzania,2,52.19,15977990,
Thailand,1,62.24,42398941,598.9244741
Timor-Leste,1,42.12,662962,
Togo,2,50.88,2379649,312.1196635
Tokelau,1,,1575,
Tonga,1,65.93,88343,
Transnistria,0,,,
Trinidad and Tobago,3,66.83,1008617,5083.811663
Tunisia,2,58.9,5667516,1251.479516
Turkey,0,58.08,39585821,2518.194066
Turkmenistan,1,60.49,2520002,
Turks and Caicos Islands,3,,6546,
Tuvalu,1,,7685,
Uganda,2,51.55,10897136,
Ukraine,0,69.96,49015998,
United Arab Emirates,1,64.3,533554,56037.96028
United Kingdom,0,72.65,56234250,14302.76811
United States,3,72.68,219108358,19868.26519
Uruguay,3,69.39,2829391,4634.344765
USSR,0,,254518689,
Uzbekistan,1,64.87,13980997,
Wallis et Futuna,1,,9118,
Vanuatu,3,54.46,99886,
Venezuela,1,67.9,12681017,6137.763275
West Bank and Gaza,3,61.81,1322064,
West Germany,1,,,
Western Sahara,1,45.23,74789,
Vietnam,0,60.54,49895731,
Virgin Islands (U.S.),2,69.73,85790,
North Yemen (former),1,,5415204,
South Yemen (former),1,,1678236,
Yemen,1,46.05,6691425,
Yugoslavia,0,,20732000,
Zambia,2,56.7,4900255,549.9357843
Zimbabwe,2,59.41,6170260,550.3385386
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
