pais,regio,lifexp,population,gdp
Abkhazia,0,,,
Afghanistan,1,49.5,13032161,
Akrotiri and Dhekelia,0,,,
Albania,0,73.3,3289483,977.7655298
Algeria,2,70.2,25299182,1832.743369
American Samoa,1,70.2,47052,
Andorra,0,81.7,52773,16070.06577
Angola,2,48.6,10335052,372.7945135
Anguilla,3,,8332,
Antigua and Barbuda,3,73.5,62202,9454.021246
Argentina,3,72.5,32642442,5581.962341
Armenia,0,70.1,3544695,795.3789052
Aruba,3,73.47,62147,18467.96227
Australia,1,77,17096153,17553.37684
Austria,0,75.7,7670513,19192.07172
Azerbaijan,0,65.6,7211692,1250.740064
Bahamas,3,68.5,256128,19970.50833
Bahrain,1,71.8,492891,9427.856079
Bangladesh,1,57.9,105256026,280.1736837
Barbados,3,73,259501,8471.088627
Belarus,0,70.5,10259700,1409.778358
Belgium,0,76,9949019,18737.95878
Belize,3,71.4,190241,2476.81753
Benin,2,56.1,4773137,295.7832851
Bermuda,3,71.1,59795,43766.213
Bhutan,1,61.4,558500,484.1100235
Bolivia,3,61.6,6658462,871.2260773
Bosnia and Herzegovina,0,72.7,4308197,
Botswana,2,62.3,1382371,2335.83437
Brazil,3,67.9,149650206,3352.965403
British Virgin Islands,3,,16491,
Brunei,1,73.8,252125,19075.01748
Bulgaria,0,71.4,8818915,1670.9483
Burkina Faso,2,51.4,9323996,166.8412774
Burundi,2,45.6,5601720,181.9453709
Cambodia,1,57.6,9531928,
Cameroon,2,58.4,12180819,665.4106421
Canada,3,77.4,27700854,19561.87934
Cape Verde,2,68.7,348165,804.3764952
Cayman Islands,3,,26048,
Central African Republic,2,48.4,2934777,277.5680849
Chad,2,53.7,6011224,183.9441217
Channel Islands,0,75.51,140137,
Chile,3,73.1,13187821,3067.65058
China,1,66.7,1145195229,391.6529529
Christmas Island,1,,,
Cocos Island,1,,,
Colombia,3,71.5,33203321,2324.843633
Comoros,2,57.1,437876,413.1981531
Congo- Dem. Rep.,2,54.5,36406226,210.3888534
Congo- Rep.,2,54.3,2388902,1170.024588
Cook Is,1,,17614,
Costa Rica,3,76.6,3070240,3119.632564
Cote d'Ivoire,2,55.3,12517730,662.8675347
Croatia,0,72.6,4517200,
Cuba,3,74.7,10570328,3338.785084
Cyprus,0,76.8,766663,10681.7648
Czech Republic,0,71.8,10302718,5401.379315
Czechoslovakia,0,,15572130,
Denmark,0,75.1,5141034,24097.90792
Djibouti,2,61,562290,1173.826537
Dominica,3,72.8,70926,3988.442162
Dominican Republic,3,71.8,7194666,1850.695013
East Germany,0,,16111000,
Ecuador,3,71.2,10260587,1299.211204
Egypt,2,65.2,56843275,1153.684513
El Salvador,3,67.7,5332842,1570.04653
Equatorial Guinea,2,48.9,373887,554.9828593
Eritrea,2,52.4,3158295,
Eritrea and Ethiopia,2,,51193511,
Estonia,0,70.1,1567631,
Ethiopia,2,45.2,48333261,127.8881274
Faeroe Islands,0,,47558,
Falkland Is (Malvinas),3,,1993,
Fiji,1,65.1,728390,1833.184364
Finland,0,75.1,4986441,19921.02316
France,0,77.2,56708260,18731.66202
French Guiana,3,71.94,117038,
French Polynesia,1,68.7,195383,14003.26486
Gabon,2,59.5,929044,4626.781529
Gambia,2,61.3,966151,586.2970526
Georgia,0,69.9,5459999,1697.52496
Germany,0,75.4,79098094,19600.84319
Ghana,2,58,14793415,221.0716696
Gibraltar,0,,26830,
Greece,0,77,10160501,9718.099838
Greenland,0,64.6,55552,16113.20256
Grenada,3,69.9,96200,3593.243143
Guadeloupe,3,73.72,386465,
Guam,1,72.6,133914,
Guatemala,3,64.6,8923131,1444.309237
Guernsey,0,,62623,
Guinea,2,52,5759374,354.5049157
Guinea-Bissau,2,51.5,1016695,183.0783661
Guyana,3,64.2,724931,609.9144221
Haiti,3,54.3,7124877,
Holy See,0,,770,
Honduras,3,70.3,4889311,1051.785919
Hong Kong- China,1,77.52,5793857,20424.27245
Hungary,0,69.5,10376320,4358.704324
Iceland,0,78.3,254793,26540.14492
India,1,58.2,873785449,316.4285779
Indonesia,1,64,184345939,592.0960703
Iran,1,66,54870583,1281.082811
Iraq,1,65.7,17373767,
Ireland,0,76.3,3531219,14074.44359
Isle of Man,0,,70313,12278.15208
Israel,1,76.7,4499949,15282.68784
Italy,0,77,56832330,16599.92009
Jamaica,3,74.8,2364909,3159.362567
Japan,1,79,122251184,34236.71426
Jersey,0,,83609,
Jordan,1,71.5,3415567,1617.880332
Kazakhstan,1,68,16530000,1611.712548
Kenya,2,61.8,23447177,450.1718213
Kiribati,1,58,71835,670.2638547
North Korea,1,68.9,20143212,
South Korea,1,71.8,42980365,6895.467056
"United Korea (former)
",1,,62887546,
Kosovo,0,,1670808,
Kuwait,1,77.2,2087687,
Kyrgyz Republic,1,66,4394502,468.3466561
Lao,1,51.5,4192414,226.7940561
Latvia,0,69.6,2663905,3912.245399
Lebanon,1,69.3,2948372,3066.729316
Lesotho,2,60.5,1639177,307.6918799
Liberia,2,48.6,2127098,192.0145425
Libya,2,73.4,4334459,
Liechtenstein,0,,28986,48888.63365
Lithuania,0,71.5,3695890,4290.780128
Luxembourg,0,75.2,381225,32473.98605
Macao- China,1,75.36,359709,13033.75616
Macedonia- FYR,0,71.7,1909353,2059.418592
Madagascar,2,56,11280625,289.4941085
Malawi,2,48.8,9380892,132.5055352
Malaysia,1,71.8,18208562,2592.517053
Maldives,1,66,219474,
Mali,2,50,8672868,187.9581875
Malta,0,77.1,367524,6664.644459
Marshall Islands,1,64.6,47288,2137.689731
Martinique,3,74.79,359377,
Mauritania,2,59.5,1995548,487.3070393
Mauritius,2,69.3,1059548,2574.743485
Mayotte,2,72.14,92413,
Mexico,3,71.5,84306602,4902.644991
Micronesia- Fed. Sts.,1,64.3,96319,1894.105464
Moldova,0,68.2,4363950,978.9750363
Monaco,0,,30896,70463.65961
Mongolia,1,62.3,2192553,519.8379689
Montenegro,0,74.6,608816,
Montserrat,3,,10714,
Morocco,2,67.7,24781105,1172.395612
Mozambique,2,51.5,13547076,184.4697292
Myanmar,1,57.6,39268304,
Namibia,2,61.7,1414830,1831.058928
Nauru,1,,9157,
Nepal,1,58.4,19081064,176.9264061
Netherlands,0,77,14891719,18858.00124
Netherlands Antilles,3,74.54,190539,
New Caledonia,1,70.7,169689,13562.65255
New Zealand,1,75.6,3397983,11627.10652
Ngorno-Karabakh,0,,,
Nicaragua,3,73.3,4120797,888.0689688
Niger,2,47.2,7788198,193.4979576
Nigeria,2,54.1,97552057,358.5537404
Niue,1,,2333,
Norfolk Island,1,,,
Northern Cyprus,0,,,
