pais,regio,lifexp,population,gdp
Namibia,2,58.06,1012824,2263.396219
Nauru,1,,7488,
Nepal,1,50.32,15045329,141.3197362
Netherlands,0,75.72,14088274,15984.14637
Netherlands Antilles,3,72.96,173297,
New Caledonia,1,67.09,142424,9908.476256
New Zealand,1,72.98,3147183,10426.73034
Ngorno-Karabakh,0,,,
Nicaragua,3,65.83,3242190,1293.989049
Niger,2,42,5871030,259.4851454
Nigeria,2,51.95,75543388,416.340061
Niue,1,,3403,
Norfolk Island,1,,,
Northern Cyprus,0,,,
Northern Mariana Islands,1,,17048,
Norway,0,75.8,4085621,22330.13757
Oman,1,63.7,1181337,4535.628011
Pakistan,1,58.79,80492664,339.4258819
Palau,1,,12197,
Panama,3,71.72,1953029,3170.321512
Papua New Guinea,1,53.11,3215339,646.7762937
Paraguay,3,71.73,3194768,1411.486717
Peru,3,62.59,17286832,2261.396653
Philippines,1,64.06,47063923,1098.398297
Pitcairn,1,,63,
Poland,0,70.4,35577214,
Portugal,0,71.71,9785924,6511.367048
Puerto Rico,3,73.47,3196011,9022.369029
Qatar,1,72.14,221594,
Reunion,2,68.51,509883,
Romania,0,70.1,22201389,1840.842604
Russia,0,67.57,138655363,
Rwanda,2,47.46,5178927,263.6974325
St. Barthélemy,3,,,
St. Helena,2,,5399,
St. Kitts and Nevis,3,,43174,3390.806585
St. Lucia,3,68.15,117691,2316.175631
St. Martin,3,,,
St. Vincent and the Grenadines,3,67.19,100450,1618.030195
St.-Pierre-et-Miquelon,3,,5999,
Samoa,1,63.2,155016,
San Marino,0,,21398,17029.60534
Sao Tome and Principe,2,61.83,94688,
Saudi Arabia,1,66.99,9801475,15683.72114
Senegal,2,49.42,5414070,494.2061574
Serbia,0,70.68,8946077,
Serbia and Montenegro,0,,9515000,
Serbia excluding Kosovo,0,,7565921,
Seychelles,2,68.4,62807,4531.964848
Sierra Leone,2,52.04,3161751,293.7428469
Singapore,1,71.04,2414563,9457.470949
Slovak Republic,0,70.58,4961607,
Slovenia,0,70.89,1831881,
Solomon Islands,1,61.53,229235,
Somalia,2,47.46,6435589,
Somaliland,2,,,
South Africa,2,56.85,29077186,3463.247113
South Ossetia,0,,,
Spain,0,75.53,37495321,8808.824382
Sri Lanka,1,68.97,15082771,441.7877954
Sudan,2,56.95,15964476,272.8540086
Suriname,3,67.71,365749,2536.233698
Svalbard,0,,,
Swaziland,2,55.31,603385,779.2524422
Sweden,0,75.74,8310467,19470.05511
Switzerland,0,75.69,6303346,29182.93218
Syria,1,66.01,8906543,1064.55368
Taiwan,1,71.53,17848000,
Tajikistan,1,64.28,3952691,
Tanzania,2,54.29,18685789,
Thailand,1,64.62,47482643,785.0234224
Timor-Leste,1,42.45,580707,
Togo,2,53.87,2666921,352.041067
Tokelau,1,,1554,
Tonga,1,67.08,92999,
Transnistria,0,,,
Trinidad and Tobago,3,67.89,1078200,6947.655718
Tunisia,2,64.41,6457092,1495.12759
Turkey,0,61.74,44105216,2540.363158
Turkmenistan,1,61.9,2861000,
Turks and Caicos Islands,3,,7525,
Tuvalu,1,,8051,
Uganda,2,52.01,12662131,
Ukraine,0,69.33,50043550,
United Arab Emirates,1,66.91,1016228,61374.75455
United Kingdom,0,73.57,56303011,15618.14742
United States,3,73.93,229825004,22630.52015
Uruguay,3,70.6,2914683,5618.848079
USSR,0,,265935636,
Uzbekistan,1,66.25,15951899,
Wallis et Futuna,1,,11232,
Vanuatu,3,57.41,115641,1071.430192
Venezuela,1,69.3,15036273,5841.28064
West Bank and Gaza,3,65.74,1510360,
West Germany,1,,,
Western Sahara,1,49.72,150303,
Vietnam,0,66.49,54023152,
Virgin Islands (U.S.),2,71.43,98423,
North Yemen (former),1,,6483356,
South Yemen (former),1,,1897991,
Yemen,1,51.13,7945180,
Yugoslavia,0,,21615000,
Zambia,2,57.62,5775165,475.2673786
Zimbabwe,2,62.48,7289463,501.2555977
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
