pais,regio,lifexp,population,gdp
India,1,61.5,1053898107,450.4151061
Indonesia,1,67.5,213395411,773.3109699
Iran,1,71.4,65342319,1550.090608
Iraq,1,65.8,23857458,1063.481473
Ireland,0,77.8,3803780,25629.6501
Isle of Man,0,,76803,20359.46252
Israel,1,78.6,6014953,19859.30215
Italy,0,79.6,56986329,19388.27875
Jamaica,3,74.4,2581648,3479.056754
Japan,1,81,125720310,37291.70616
Jersey,0,,88915,
Jordan,1,73.4,4827096,1764.229892
Kazakhstan,1,64.9,14956694,1229.000958
Kenya,2,55.6,31253701,406.5230596
Kiribati,1,59.8,84010,812.2820768
North Korea,1,59.1,22894095,
South Korea,1,76.3,45987624,11346.66499
"United Korea (former)
",1,,68998765,
Kosovo,0,,2614315,1087.762401
Kuwait,1,77.7,1940786,19434.40002
Kyrgyz Republic,1,65.9,4954850,279.620275
Lao,1,56.1,5317060,325.5930951
Latvia,0,70.5,2384972,3300.934656
Lebanon,1,75.9,3742329,4612.198672
Lesotho,2,50.7,1963878,379.7756226
Liberia,2,55.8,2847290,185.8134039
Libya,2,74.8,5231189,6479.712522
Liechtenstein,0,,32853,75606.2032
Lithuania,0,72.1,3500028,3267.347443
Luxembourg,0,78.5,435491,46453.24578
Macao- China,1,77.63,431867,14128.87518
Macedonia- FYR,0,72.9,2009091,1785.326792
Madagascar,2,59.1,15364272,252.3825167
Malawi,2,45.4,11228756,155.2715445
Malaysia,1,73.3,23414909,4005.556325
Maldives,1,73,273236,2284.973955
Mali,2,53.5,11295324,214.4665918
Malta,0,79.2,397420,10377.03732
Marshall Islands,1,64.7,52145,2127.485462
Martinique,3,78.19,385349,
Mauritania,2,63.8,2642743,489.511645
Mauritius,2,71.4,1196027,3861.038542
Mayotte,2,75.69,148753,
Mexico,3,74.6,99959594,5816.614481
Micronesia- Fed. Sts.,1,66.6,107103,2177.589076
Moldova,0,68.6,4106736,354.001668
Monaco,0,,35126,75382.44663
Mongolia,1,62.5,2411369,471.4733258
Montenegro,0,73.3,632606,1555.912521
Montserrat,3,,4931,
Morocco,2,71.5,28793236,1271.811092
Mozambique,2,52.3,18200656,233.4392656
Myanmar,1,60.8,44957660,
Namibia,2,54,1895839,2061.620971
Nauru,1,,10041,
Nepal,1,65.2,24400606,225.1686785
Netherlands,0,78.1,15862825,24179.73141
Netherlands Antilles,3,74.65,179769,
New Caledonia,1,73.46,211965,12579.59511
New Zealand,1,78.4,3858032,13375.78052
Ngorno-Karabakh,0,,,
Nicaragua,3,76,5073704,1006.62731
Niger,2,52.4,10922421,164.6489476
Nigeria,2,55.2,123688536,371.7680804
Niue,1,,1900,
Norfolk Island,1,,,
Northern Cyprus,0,,,
Northern Mariana Islands,1,75.5,68432,
Norway,0,78.6,4490859,37472.67167
Oman,1,75.2,2264163,8774.93385
Pakistan,1,62.3,144522192,511.7025555
Palau,1,,19172,6251.982057
Panama,3,76.5,2956126,3930.98941
Papua New Guinea,1,57.5,5378824,654.6687817
Paraguay,3,74.2,5343539,1323.481934
Peru,3,74.6,25861887,2060.576257
Philippines,1,69.1,77309965,1048.070513
Pitcairn,1,,58,
Poland,0,73.8,38302444,4454.08022
Portugal,0,76.8,10336209,11470.89792
Puerto Rico,3,75.6,3814353,16192.12697
Qatar,1,74.7,590957,30052.7612
Reunion,2,76.08,738984,
Romania,0,71.1,22191683,1650.968421
Russia,0,65.1,146757517,1775.141291
Rwanda,2,49.2,8098344,214.2336989
St. Barthélemy,3,,,
St. Helena,2,,5059,
St. Kitts and Nevis,3,,46083,9406.289898
St. Lucia,3,72,157108,4900.495676
St. Martin,3,,,
St. Vincent and the Grenadines,3,69.1,107891,3683.782769
St.-Pierre-et-Miquelon,3,,6270,
Samoa,1,70.8,176549,1391.214354
San Marino,0,,26967,28698.32174
Sao Tome and Principe,2,64.6,141010,543.9990393
Saudi Arabia,1,76.8,20045276,9400.811686
Senegal,2,59.7,9505862,492.2862252
Serbia,0,72.1,10133561,809.2750794
Serbia and Montenegro,0,,10850210,
Serbia excluding Kosovo,0,,7516346,
Seychelles,2,70.9,78685,7578.851053
Sierra Leone,2,51.5,4143115,153.4779677
Singapore,1,78.3,3919300,23814.55661
Slovak Republic,0,73.3,5404845,5330.401622
Slovenia,0,76.1,1985406,10045.36008
Solomon Islands,1,61.7,408732,1064.514687
Somalia,2,50.7,7399033,
Somaliland,2,,,
South Africa,2,56.4,44760380,3019.946367
South Ossetia,0,,,
Spain,0,79.2,40288457,14413.78887
Sri Lanka,1,72.4,18745084,854.9267252
Sudan,2,62.4,27193105,358.529201
Suriname,3,69.7,466846,1911.046315
Svalbard,0,,2376,
Swaziland,2,48.8,1063832,1508.18366
Sweden,0,79.7,8860153,27869.3776
Switzerland,0,79.8,7167908,35639.47886
Syria,1,74.4,15988534,1208.734642
Taiwan,1,76,22183000,
Tajikistan,1,65.8,6172807,139.4098818
Tanzania,2,54.3,34038161,307.9861546
Thailand,1,70.7,63155029,1943.237928
Timor-Leste,1,60.7,830089,380.9230095
Togo,2,56.7,4793504,270.0008761
Tokelau,1,,1552,
Tonga,1,69.6,97935,1926.004579
Transnistria,0,,,
Trinidad and Tobago,3,69.5,1292058,6311.106551
Tunisia,2,75,9456117,2245.335059
Turkey,0,73.8,63627862,4189.478062
Turkmenistan,1,63.7,4501419,645.2771015
Turks and Caicos Islands,3,,18873,
Tuvalu,1,,9419,1458.949625
Uganda,2,49.1,24213120,255.7806112
Ukraine,0,67.3,48891792,635.7089682
United Arab Emirates,1,73.3,3033491,34395.14913
United Kingdom,0,77.8,58874117,25057.61353
United States,3,76.9,282496310,35081.92308
Uruguay,3,74.6,3319066,6914.362582
USSR,0,,289112747,
Uzbekistan,1,67.6,24775610,558.221144
Wallis et Futuna,1,,14499,
Vanuatu,3,62.5,185074,1469.761787
Venezuela,1,73.8,24348304,4818.70818
West Bank and Gaza,3,74.4,3198560,1369.193027
West Germany,1,,,
Western Sahara,1,62.64,315340,
Vietnam,0,72,78758010,401.5478021
Virgin Islands (U.S.),2,77.57,108511,
North Yemen (former),1,,,
South Yemen (former),1,,,
Yemen,1,62.4,17723186,543.7138828
Yugoslavia,0,,23321566,
Zambia,2,44.8,10201562,318.9268222
Zimbabwe,2,47.9,12509477,534.7911515
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
