pais,gdp,lifexp,population,regio
Albania,196.570.723,77.4,3.215.988,0
Armenia,1.384.085.162,73.5,3.100.236,0
Austria,2.726.640.335,80.7,8.413.429,0
Azerbaijan,2.338.896.558,70.8,9.306.023,0
Belarus,2.890.345.675,70.3,9.559.441,0
Belgium,2.473.362.696,80.2,10.754.056,0
Bosnia and Herzegovina,2.225.290.153,78.2,3.752.228,0
Bulgaria,2.618.876.037,74.2,7.446.135,0
Croatia,6.270.035.718,77.1,4.395.560,0
Cyprus,1.537.816.704,81.1,1.116.564,0
Czech Republic,7.926.938.194,77.8,10.534.293,0
Denmark,3.086.012.808,79.9,5.572.594,0
Estonia,6.525.541.272,76.3,1.340.537,0
Finland,275.704.852,80.3,5.384.770,0
France,2.301.684.778,81.6,63.125.894,0
Georgia,1.334.646.773,72.2,4.329.026,0
Germany,2.620.654.827,80.5,82.162.512,0
Greece,1.250.901.415,80.5,11.390.031,0
Hungary,5.745.981.529,75,9.966.116,0
Iceland,3.470.619.047,82.9,324.366,0
Ireland,2.771.552.837,80.6,4.525.802,0
Italy,1.893.724.998,82,60.788.694,0
Latvia,5.330.567.994,74.6,2.243.142,0
Lithuania,5.793.289.777,74.3,3.307.481,0
Luxembourg,5.205.601.781,81.5,515.941,0
Macedonia, FYR,2.283.798.023,75.6,2.063.893,0
Malta,11.213.537,81.3,417.855,0
Moldova,6.355.064.743,72.3,3.544.864,0
Montenegro,2.292.503.028,76.7,632.261,0
Netherlands,2.663.486.005,80.9,16.664.746,0
Norway,4.003.485.063,81.1,4.924.848,0
Poland,6.854.462.537,76.5,38.298.949,0
Portugal,1.155.191.534,80.2,10.689.663,0
Romania,2.633.022.807,74.5,21.436.495,0
Russia,3.054.727.742,69.8,142.835.555,0
Serbia,1.223.640.529,75.1,9.853.969,0
Slovak Republic,8.693.835.279,76.1,5.471.502,0
Slovenia,1.268.865.168,79.9,2.035.012,0
Spain,1.542.832.098,82,46.454.895,0
Sweden,3.363.024.604,81.7,9.440.747,0
Switzerland,3.917.041.371,82.6,7.701.690,0
Turkey,5.741.410.398,78.8,73.639.596,0
Ukraine,1.094.681.152,71.1,45.190.180,0
United Kingdom,2.827.240.661,80.5,62.417.431,0
Vietnam,7.574.009.286,74.7,88.791.996,0
Australia,2.530.682.494,82.2,22.605.732,1
Bangladesh,5.883.691.778,69.3,150.493.658,1
Bhutan,1.445.760.002,71.7,738.267,1
Brunei,1.730.133.869,76.9,405.938,1
Cambodia,5.904.521.124,67.6,14.305.183,1
China,263.954.156,74.9,1.347.565.324,1
Fiji,2.242.689.259,65.3,868.406,1
Hong Kong, China,3.795.823.146,83.02,7.122.187,1
India,8.377.464.011,65.7,1.241.491.960,1
Indonesia,1.206.991.065,70.1,242.325.638,1
Iraq,7.863.271.857,67.7,32.664.942,1
Israel,2.285.967.589,81.6,7.562.194,1
Japan,3.957.807.441,82.6,126.497.241,1
Jordan,2.588.668.961,78.1,6.330.169,1
Kazakhstan,2.629.911.409,69.1,16.206.750,1
Kiribati,7.152.906.089,62.1,101.093,1
South Korea,1.668.421.278,80.6,48.391.343,1
Kuwait,242.861.158,79,2.818.042,1
Kyrgyz Republic,3.931.914.713,68.5,5.392.580,1
Lao,5.918.581.836,65,6.288.037,1
Lebanon,6.896.230.909,76.6,4.259.405,1
Macao, China,4.025.880.862,79.97,555.731,1
Malaysia,5.345.213.415,74.6,28.859.154,1
Maldives,4.030.635.872,79.6,320.081,1
Marshall Islands,2.522.824.763,66,54.816,1
Micronesia, Fed. Sts.,2.168.464.762,68.4,111.542,1
Mongolia,8.939.924.451,65.6,2.800.114,1
Nepal,2.748.728.621,69.3,30.485.798,1
New Zealand,1.464.642.094,80.8,4.414.509,1
Oman,1.170.149.655,76.3,2.846.145,1
Pakistan,6.721.547.506,64.9,176.745.364,1
Papua New Guinea,793.197.745,59.4,7.013.829,1
Philippines,1.413.366.295,70.2,94.852.030,1
Qatar,3.615.266.676,79.7,1.870.041,1
Samoa,1.797.172.011,72.7,183.874,1
Saudi Arabia,991.375.628,78.9,28.082.541,1
Singapore,3.352.983.052,81.5,5.187.933,1
Solomon Islands,1.214.855.148,63,552.267,1
Sri Lanka,1.402.121.673,76.4,21.045.394,1
Tajikistan,2.953.601.307,70.1,6.976.958,1
Thailand,2.699.123.242,74.3,69.518.555,1
Timor-Leste,4.519.825.986,71.3,1.153.834,1
Tonga,2.162.151.892,70.8,104.509,1
Turkmenistan,1.370.427.756,68.5,5.105.301,1
Tuvalu,1.576.211.871,,9.847,1
United Arab Emirates,2.105.843.643,75.5,7.890.924,1
Uzbekistan,9.927.613.654,70.6,27.760.267,1
Venezuela,5.671.912.202,74.8,29.436.891,1
Yemen,5.283.986.734,66.6,24.799.880,1
Algeria,2.255.225.482,76.1,35.980.193,2
Angola,6.299.553.062,58.1,19.618.432,2
Benin,3.780.517.915,61.1,9.099.922,2
Botswana,4.377.555.741,56.5,2.030.738,2
Burkina Faso,2.858.030.263,59.5,16.967.845,2
Burundi,1.408.125.043,60.8,8.575.172,2
Cameroon,6.657.982.328,58.1,20.030.362,2
Cape Verde,2.038.880.104,71.4,500.585,2
Central African Republic,232.623.253,48.1,4.486.837,2
Chad,3.014.017.086,56.1,11.525.496,2
Comoros,3.352.192.351,67.2,753.943,2
Congo, Dem. Rep.,1.098.092.981,58.8,67.757.577,2
Congo, Rep.,1.266.356.056,60.9,4.139.748,2
Cote d'Ivoire,5.482.314.368,57,20.152.894,2
Egypt,197.661.483,70.4,82.536.770,2
Equatorial Guinea,8.875.138.212,58.7,720.213,2
Eritrea,1.548.096.612,60.2,5.415.280,2
Ethiopia,2.296.769.525,62.9,84.734.262,2
Gabon,4.333.811.037,63.3,1.534.262,2
Gambia,6.149.120.868,67.1,1.776.103,2
Ghana,4.026.953.275,63.5,24.965.816,2
Guinea,3.941.156.638,58.2,10.221.808,2
Guinea-Bissau,1.663.466.549,54.5,1.547.061,2
Kenya,4.782.194.906,63.7,41.609.728,2
Lesotho,518.984.126,46.7,2.193.843,2
Liberia,2.792.204.061,61.5,4.128.572,2
Madagascar,2.381.727.482,62.6,21.315.135,2
Malawi,1.828.754.793,56.6,15.380.888,2
Mali,272.309.384,59.6,15.839.538,2
Mauritania,6.233.743.766,68.8,3.541.540,2
Mauritius,5.370.831.613,73.7,1.306.593,2
Morocco,1.908.304.416,73.9,32.272.974,2
Mozambique,4.015.652.651,54.5,23.929.708,2
Namibia,2.749.274.482,62.6,2.324.004,2
Niger,1.770.587.161,59.6,16.068.994,2
Nigeria,5.659.947.974,62,162.470.737,2
Rwanda,3.705.928.566,65.3,10.942.950,2
Senegal,5.599.683.029,64.4,12.767.556,2
Seychelles,9.279.112.672,73.4,86.879,2
Sierra Leone,2.782.433.791,55.6,5.997.486,2
South Africa,3.825.093.781,56.6,50.459.978,2
Sudan,5.618.427.214,66.3,34.735.288,2
Swaziland,1.813.544.908,48,1.203.330,2
Tanzania,4.738.812.365,61.7,46.218.486,2
Togo,2.731.075.134,59.6,6.154.813,2
Tunisia,3.050.885.999,77.2,10.594.057,2
Uganda,3.927.088.001,58.6,34.509.205,2
Zambia,4.439.206.307,53.7,13.474.959,2
Zimbabwe,3.477.456.605,51.6,12.754.378,2
Antigua and Barbuda,9.977.957.073,75.9,89.612,3
Argentina,1.160.163.022,76,40.764.561,3
Bahamas,1.946.699.052,72.6,347.176,3
Belize,3.490.234.069,71.2,317.928,3
Bolivia,1.276.128.614,72.1,10.088.108,3
Brazil,4.803.398.244,73.8,196.655.014,3
Canada,2.593.328.833,81.6,34.349.561,3
Chile,7.122.938.458,78.9,17.269.525,3
Colombia,33.624.656,77,46.927.125,3
Costa Rica,5.367.799.878,79.9,4.726.575,3
Dominica,6.518.659.877,73.4,67.675,3
Dominican Republic,4.176.344.375,74.6,10.056.181,3
Ecuador,1.837.008.584,75.3,14.666.055,3
El Salvador,2.579.115.607,74.3,6.227.491,3
Grenada,6.047.200.797,71,104.890,3
Guatemala,1.886.423.623,71.6,14.757.316,3
Haiti,3.855.793.827,62.4,10.123.787,3
Honduras,1.414.072.488,72.2,7.754.687,3
Mexico,628.825.324,75.7,114.793.341,3
Nicaragua,1.221.491.965,77.4,5.869.859,3
Panama,6.654.394.909,77.4,3.571.185,3
Paraguay,1.657.583.233,74,6.568.290,3
Peru,3.359.517.402,78.5,29.399.817,3
St. Lucia,5.469.971.349,74.6,176.044,3
St. Vincent and the Grenadines,484.476.687,71,109.365,3
Trinidad and Tobago,1.004.790.319,71.9,1.346.350,3
United States,3.769.102.733,78.9,313.085.380,3
Uruguay,958.105.659,76.3,3.380.008,3
Vanuatu,1.522.528.302,64.1,245.619,3
