pais,regio,lifexp,population,gdp
Abkhazia,0,,,
Afghanistan,1,49.4,19789880,
Akrotiri and Dhekelia,0,,,
Albania,0,73.7,3141102,899.7829368
Algeria,2,71.6,28291591,1660.004192
American Samoa,1,70.6,52919,
Andorra,0,82.6,64699,14125.59342
Angola,2,50.9,12105105,251.8979553
Anguilla,3,,9805,
Antigua and Barbuda,3,73.5,68642,9466.095341
Argentina,3,73.5,34855160,7179.938826
Armenia,0,69.1,3223173,461.9193605
Aruba,3,73.62,80323,18952.47289
Australia,1,78.3,18118416,18690.43658
Austria,0,76.8,7935624,20692.25631
Azerbaijan,0,64.6,7764798,487.7263633
Bahamas,3,69.7,279774,18195.24765
Bahrain,1,73,559069,11541.87605
Bangladesh,1,61.6,117486952,311.1665705
Barbados,3,73.3,263416,8204.375226
Belarus,0,68.2,10274231,920.0339044
Belgium,0,76.9,10079873,19939.71072
Belize,3,70.5,220311,2867.582161
Benin,2,56.7,5651141,307.5482248
Bermuda,3,72.5,61405,44759.87078
Bhutan,1,63.8,518584,622.4777146
Bolivia,3,64.4,7470925,949.1547026
Bosnia and Herzegovina,0,67,3332098,486.8176206
Botswana,2,56.8,1585637,2483.293334
Brazil,3,69,161848162,3606.005917
British Virgin Islands,3,,18440,
Brunei,1,74.7,289614,19395.52004
Bulgaria,0,71,8356624,1518.050678
Burkina Faso,2,51.3,10692138,176.2585051
Burundi,2,44.5,6086751,147.4483698
Cambodia,1,58.1,11169233,229.8906408
Cameroon,2,56.5,13940337,528.3640454
Canada,3,78,29302092,20169.53897
Cape Verde,2,68.3,394946,913.9044579
Cayman Islands,3,,32792,
Central African Republic,2,46.7,3327710,257.0281895
Chad,2,53.6,6998108,174.0664733
Channel Islands,0,76.53,141934,
Chile,3,75.4,14409416,4258.237391
China,1,68.4,1213986610,657.9926002
Christmas Island,1,,,
Cocos Island,1,,,
Colombia,3,72,36453337,2592.710818
Comoros,2,58.9,494486,379.7884299
Congo- Dem. Rep.,2,54,44067369,119.2955513
